下料批次号,零件号,数量,外轮廓,允许旋转角度,面料号
L0003,s000074,1,"[[50000.0, 2000.0], [50000.0, 2182.0], [49919.8, 2182.0], [49919.8, 2000.0], [50000.0, 2000.0]]","0, 180",M0003
L0003,s000075,1,"[[50000.0, 3000.0], [49996.5, 3008.5], [49994.5, 3013.6], [49992.4, 3018.6], [49991.8, 3020.2], [49990.7, 3022.8], [49989.8, 3025.3], [49987.5, 3031.8], [49986.0, 3036.7], [49984.3, 3042.2], [49982.8, 3048.3], [49981.6, 3053.8], [49981.0, 3057.1], [49979.6, 3067.1], [49979.5, 3067.7], [49978.6, 3077.1], [49978.4, 3081.1], [49978.1, 3086.7], [49978.0, 3090.2], [49977.9, 3093.9], [49977.8, 3098.9], [49977.7, 3103.6], [49977.7, 3105.8], [49977.8, 3109.5], [49977.9, 3113.4], [49978.0, 3117.0], [49978.1, 3120.6], [49978.4, 3126.2], [49978.6, 3130.1], [49979.5, 3139.5], [49979.6, 3140.2], [49980.3, 3145.2], [49981.0, 3150.1], [49981.6, 3153.4], [49982.8, 3158.9], [49984.3, 3165.0], [49986.0, 3170.6], [49987.5, 3175.4], [49988.6, 3178.7], [49989.8, 3182.0], [49990.7, 3184.4], [49991.8, 3187.0], [49992.4, 3188.6], [49994.5, 3193.6], [49996.5, 3198.8], [49998.6, 3204.0], [50000.0, 3207.2], [50000.7, 3209.1], [50003.0, 3214.6], [50005.1, 3219.8], [50007.0, 3224.5], [50007.9, 3226.7], [50008.7, 3228.7], [50013.5, 3240.6], [49960.8, 3322.9], [49892.2, 3296.2], [49892.0, 3279.2], [49892.0, 3277.3], [49891.9, 3271.7], [49891.7, 3267.0], [49891.5, 3263.3], [49891.1, 3259.5], [49890.0, 3252.2], [49889.3, 3248.9], [49888.3, 3244.2], [49887.1, 3239.4], [49885.7, 3233.8], [49884.0, 3228.1], [49883.0, 3224.3], [49881.9, 3220.8], [49878.0, 3207.4], [49876.5, 3202.2], [49875.0, 3196.8], [49873.4, 3190.3], [49872.0, 3184.3], [49870.7, 3178.1], [49869.7, 3173.0], [49869.0, 3168.5], [49867.4, 3158.0], [49867.1, 3155.2], [49866.2, 3148.5], [49865.7, 3143.5], [49865.1, 3134.9], [49864.9, 3130.4], [49864.7, 3125.1], [49864.5, 3121.5], [49864.4, 3118.7], [49864.3, 3115.7], [49864.3, 3091.5], [49864.4, 3088.5], [49864.5, 3085.7], [49864.7, 3082.1], [49864.8, 3079.5], [49864.9, 3076.8], [49865.1, 3072.3], [49865.7, 3063.8], [49866.2, 3058.8], [49867.1, 3052.0], [49867.4, 3049.3], [49869.0, 3038.7], [49869.7, 3034.2], [49870.7, 3029.1], [49872.0, 3023.0], [49873.4, 3016.9], [49875.0, 3010.5], [49878.0, 2999.8], [49881.9, 2986.4], [49883.0, 2982.9], [49884.0, 2979.2], [49885.7, 2973.4], [49887.1, 2967.8], [49888.3, 2963.1], [49889.3, 2958.4], [49890.0, 2955.0], [49891.1, 2947.7], [49891.5, 2943.9], [49891.7, 2940.3], [49891.9, 2935.5], [49892.0, 2931.7], [49892.0, 2928.0], [49892.2, 2911.0], [49960.8, 2884.3], [50013.5, 2966.5], [50008.6, 2978.5], [50007.8, 2980.8], [50006.8, 2983.2], [50005.4, 2986.6], [50003.9, 2990.3], [50002.3, 2994.1], [50000.7, 2998.2], [50000.0, 3000.0]]","0, 180",M0003
L0003,s000076,1,"[[52000.0, 1000.0], [52020.5, 997.5], [52049.6, 994.2], [52078.8, 991.0], [52129.2, 985.7], [52178.5, 980.6], [52198.0, 978.6], [52207.7, 977.6], [52217.4, 976.8], [52234.7, 975.6], [52250.7, 974.4], [52270.2, 973.2], [52289.7, 972.4], [52305.6, 972.1], [52321.4, 972.0], [52347.9, 971.9], [52360.9, 972.0], [52374.0, 972.3], [52381.8, 972.7], [52389.6, 973.2], [52412.4, 974.7], [52435.1, 976.5], [52458.3, 978.6], [52481.5, 980.9], [52514.6, 984.1], [52532.2, 986.0], [52549.7, 988.0], [52566.7, 990.2], [52583.7, 992.6], [52602.8, 995.4], [52621.8, 998.2], [52642.8, 1001.2], [52653.2, 1002.7], [52663.4, 1004.2], [52679.2, 1006.2], [52693.6, 1002.3], [52696.6, 1002.9], [52699.2, 1003.4], [52701.6, 1003.9], [52703.8, 1004.3], [52707.8, 1005.1], [52711.7, 1005.8], [52716.7, 1006.8], [52722.0, 1007.8], [52727.5, 1008.8], [52733.2, 1009.9], [52744.8, 1012.1], [52747.8, 1012.7], [52756.5, 1014.4], [52764.2, 1015.9], [52771.8, 1017.4], [52786.7, 1020.4], [52808.9, 1025.3], [52820.1, 1027.8], [52831.5, 1030.3], [52841.4, 1032.3], [52851.3, 1034.3], [52861.2, 1036.3], [52871.0, 1038.2], [52880.6, 1040.0], [52890.0, 1041.7], [52899.0, 1043.4], [52907.6, 1044.9], [52903.1, 1058.4], [52898.7, 1071.7], [52889.6, 1098.0], [52879.4, 1126.3], [52868.8, 1154.5], [52858.4, 1181.4], [52853.3, 1194.7], [52848.3, 1207.9], [52844.6, 1217.9], [52840.9, 1228.1], [52837.1, 1238.5], [52835.2, 1243.9], [52833.2, 1249.4], [52809.8, 1252.6], [52803.3, 1249.4], [52796.9, 1245.8], [52790.5, 1242.1], [52784.1, 1238.3], [52770.6, 1229.8], [52757.0, 1221.5], [52743.2, 1213.5], [52729.2, 1205.9], [52715.1, 1198.6], [52701.0, 1191.5], [52684.8, 1195.6], [52669.0, 1189.5], [52659.9, 1186.8], [52650.6, 1184.5], [52641.3, 1182.5], [52631.8, 1181.0], [52621.4, 1179.7], [52616.1, 1179.3], [52610.9, 1179.1], [52608.5, 1179.1], [52604.2, 1179.2], [52602.7, 1179.2], [52599.8, 1179.3], [52593.9, 1179.3], [52590.5, 1179.5], [52587.2, 1180.0], [52583.8, 1180.7], [52580.6, 1181.6], [52577.7, 1182.6], [52575.0, 1183.8], [52573.4, 1184.8], [52571.9, 1185.9], [52569.1, 1188.5], [52567.0, 1191.2], [52565.3, 1194.1], [52563.7, 1197.5], [52562.6, 1201.2], [52561.8, 1204.5], [52561.1, 1207.8], [52560.6, 1211.1], [52560.1, 1214.1], [52552.1, 1212.3], [52543.7, 1210.5], [52535.1, 1208.6], [52526.6, 1206.8], [52519.7, 1205.4], [52513.2, 1204.0], [52500.0, 1201.4], [52484.6, 1198.4], [52476.8, 1197.0], [52469.1, 1195.8], [52455.9, 1194.0], [52442.7, 1192.5], [52432.8, 1191.3], [52427.8, 1190.8], [52422.8, 1190.4], [52414.0, 1190.0], [52405.3, 1190.0], [52396.7, 1190.1], [52388.1, 1190.4], [52380.2, 1190.9], [52372.4, 1191.4], [52357.5, 1192.5], [52343.8, 1193.9], [52330.0, 1195.5], [52314.9, 1197.1], [52299.8, 1198.7], [52284.0, 1200.5], [52270.9, 1201.7], [52257.7, 1203.0], [52241.8, 1204.7], [52225.7, 1206.1], [52209.4, 1207.2], [52195.1, 1208.0], [52180.8, 1208.7], [52149.6, 1210.7], [52130.9, 1211.5], [52112.2, 1211.9], [52094.4, 1212.1], [52076.6, 1212.3], [52058.3, 1212.8], [52049.1, 1213.0], [52031.4, 1213.0], [52022.6, 1212.8], [51985.8, 1212.8], [51960.9, 1004.8], [51990.6, 1001.1], [52000.0, 1000.0]]","0, 180",M0003
L0003,s000077,1,"[[52000.0, 2000.0], [52000.5, 2004.0], [52001.8, 2011.3], [52003.6, 2018.6], [52005.5, 2025.8], [52006.7, 2030.6], [52007.4, 2033.2], [52008.0, 2035.9], [52007.1, 2044.3], [51994.0, 2046.2], [51980.9, 2048.0], [51967.6, 2049.5], [51954.4, 2051.0], [51931.8, 2053.8], [51895.3, 2058.1], [51880.5, 2059.7], [51858.5, 2062.1], [51836.5, 2064.5], [51822.5, 2065.8], [51808.4, 2067.0], [51780.3, 2069.1], [51746.0, 2071.4], [51720.0, 2073.1], [51703.3, 2074.2], [51686.5, 2075.2], [51676.0, 2075.6], [51665.5, 2075.9], [51644.4, 2076.6], [51628.1, 2077.3], [51611.7, 2077.9], [51601.1, 2078.1], [51590.5, 2078.2], [51569.4, 2078.2], [51545.5, 2078.3], [51496.2, 2078.3], [51484.0, 2078.2], [51472.3, 2078.2], [51465.9, 2078.1], [51455.9, 2078.1], [51452.3, 2078.0], [51448.5, 2078.0], [51444.4, 2077.9], [51444.5, 2075.2], [51444.6, 2072.8], [51444.7, 2070.7], [51444.8, 2068.7], [51444.9, 2065.1], [51445.0, 2061.7], [51445.2, 2056.8], [51445.4, 2051.6], [51445.5, 2046.1], [51445.7, 2040.5], [51446.0, 2028.8], [51446.4, 2017.1], [51447.0, 2004.8], [51447.6, 1992.8], [51448.3, 1980.9], [51449.0, 1968.9], [51449.7, 1958.1], [51450.3, 1947.2], [51451.0, 1936.3], [51451.6, 1925.4], [51452.2, 1914.8], [51452.8, 1904.4], [51453.4, 1894.4], [51453.6, 1889.5], [51453.9, 1884.9], [51458.8, 1884.7], [51464.1, 1884.5], [51475.0, 1884.1], [51481.4, 1883.9], [51487.7, 1883.7], [51508.5, 1883.2], [51529.3, 1882.8], [51550.3, 1882.9], [51571.2, 1883.2], [51592.2, 1883.8], [51613.1, 1884.5], [51672.1, 1886.4], [51703.4, 1887.4], [51734.7, 1888.6], [51759.1, 1889.5], [51771.3, 1889.9], [51783.5, 1890.0], [51800.6, 1889.9], [51817.7, 1889.6], [51827.5, 1889.5], [51837.2, 1889.2], [51846.7, 1888.7], [51853.9, 1888.0], [51861.1, 1887.3], [51871.1, 1886.3], [51881.0, 1885.1], [51890.6, 1883.6], [51906.8, 1881.0], [51921.4, 1878.3], [51935.9, 1875.5], [51966.2, 1869.5], [51980.0, 1866.8], [51993.8, 1864.4], [52001.5, 1863.3], [52009.3, 1862.3], [52024.9, 1860.6], [52035.0, 1859.5], [52045.1, 1858.5], [52055.0, 1857.5], [52064.4, 1856.5], [52066.5, 1869.3], [52063.2, 1871.4], [52059.7, 1873.5], [52052.5, 1878.1], [52047.5, 1881.5], [52042.8, 1885.1], [52038.2, 1889.1], [52033.7, 1893.2], [52027.4, 1899.7], [52024.5, 1903.1], [52021.7, 1906.6], [52018.7, 1911.0], [52015.9, 1915.6], [52013.3, 1920.3], [52010.9, 1925.1], [52007.9, 1931.8], [52005.2, 1938.7], [52002.7, 1946.7], [52000.8, 1954.9], [51999.5, 1962.0], [51998.8, 1969.1], [51998.6, 1974.9], [51998.7, 1980.7], [51999.0, 1988.7], [51999.6, 1996.7], [52000.0, 2000.0]]","0, 180",M0003
L0003,s000078,1,"[[52000.0, 3000.0], [52000.0, 3105.0], [51895.0, 3105.0], [51895.0, 3000.0], [52000.0, 3000.0]]","0, 180",M0003
L0003,s000079,1,"[[54000.0, 1000.0], [53896.8, 924.2], [53896.9, 911.2], [54009.3, 850.4], [54026.9, 840.9], [54030.7, 845.5], [54034.1, 849.7], [54036.0, 851.8], [54037.9, 853.9], [54040.1, 855.8], [54042.4, 857.7], [54047.1, 861.2], [54052.3, 864.5], [54055.8, 866.5], [54059.4, 868.2], [54062.5, 869.5], [54065.7, 870.8], [54064.6, 872.5], [54063.7, 874.0], [54061.9, 876.9], [54059.1, 881.9], [54056.5, 887.1], [54054.6, 891.2], [54052.9, 895.4], [54052.1, 897.8], [54051.4, 900.3], [54050.9, 902.9], [54050.5, 905.6], [54050.1, 911.1], [54049.9, 914.8], [54049.9, 918.6], [54050.1, 922.0], [54050.4, 925.3], [54050.7, 929.3], [54051.2, 933.2], [54051.9, 936.4], [54052.8, 939.6], [54054.9, 946.0], [54057.3, 952.1], [54059.2, 956.4], [54060.2, 958.5], [54061.3, 960.8], [54057.4, 963.6], [54053.6, 966.4], [54049.3, 969.6], [54045.2, 973.1], [54041.3, 976.8], [54037.6, 980.8], [54034.0, 985.3], [54031.5, 988.4], [54029.3, 991.7], [54027.9, 994.2], [54026.6, 996.8], [54025.3, 999.4], [54024.0, 1002.2], [54022.9, 1005.3], [54022.2, 1007.5], [54020.4, 1008.3], [54018.9, 1009.3], [54017.5, 1010.6], [54016.2, 1011.8], [54000.0, 1000.0]]","0, 180",M0003
L0003,s000080,1,"[[54000.0, 2000.0], [54001.0, 2010.2], [54001.8, 2016.3], [54002.7, 2022.5], [54004.0, 2030.5], [54005.6, 2038.6], [54007.2, 2046.4], [54008.9, 2053.9], [54006.2, 2061.9], [53998.8, 2061.1], [53995.4, 2060.7], [53992.1, 2060.3], [53985.9, 2059.7], [53979.8, 2059.0], [53974.3, 2058.4], [53968.6, 2057.8], [53957.0, 2056.5], [53945.1, 2055.2], [53933.2, 2053.9], [53912.7, 2051.6], [53892.3, 2049.6], [53884.5, 2048.9], [53867.3, 2047.5], [53842.2, 2045.8], [53826.9, 2045.0], [53811.7, 2044.3], [53791.6, 2043.7], [53771.5, 2043.4], [53755.0, 2043.5], [53738.5, 2043.7], [53718.6, 2044.4], [53698.8, 2045.2], [53675.9, 2046.0], [53664.5, 2046.5], [53653.1, 2047.2], [53635.5, 2048.7], [53618.0, 2050.5], [53605.1, 2051.8], [53592.3, 2053.3], [53582.3, 2054.5], [53572.3, 2055.8], [53562.1, 2057.1], [53551.6, 2058.6], [53550.6, 2058.7], [53541.9, 2060.0], [53537.0, 2060.7], [53532.3, 2061.4], [53527.7, 2062.1], [53523.3, 2062.8], [53519.3, 2063.5], [53515.6, 2064.2], [53513.6, 2064.6], [53511.5, 2065.0], [53510.3, 2065.3], [53508.9, 2065.6], [53507.3, 2065.9], [53505.5, 2066.3], [53504.1, 2060.7], [53502.7, 2055.0], [53499.8, 2043.2], [53496.8, 2031.1], [53493.7, 2018.7], [53490.7, 2006.2], [53487.6, 1993.8], [53484.5, 1981.5], [53481.6, 1969.5], [53479.7, 1962.1], [53477.9, 1954.8], [53476.1, 1947.6], [53474.3, 1940.2], [53472.4, 1932.7], [53470.5, 1924.9], [53468.5, 1916.8], [53466.4, 1908.3], [53488.3, 1902.4], [53510.4, 1896.3], [53531.9, 1890.3], [53553.5, 1884.5], [53566.0, 1881.4], [53578.6, 1878.4], [53603.6, 1872.4], [53626.7, 1866.5], [53638.3, 1863.4], [53649.7, 1860.5], [53671.7, 1855.0], [53693.9, 1849.9], [53720.3, 1844.1], [53746.7, 1838.5], [53767.5, 1834.4], [53788.3, 1830.6], [53804.5, 1827.9], [53820.9, 1825.7], [53837.7, 1823.8], [53854.6, 1822.2], [53874.8, 1820.4], [53895.0, 1818.9], [53916.3, 1817.7], [53937.7, 1816.9], [53954.3, 1816.4], [53970.9, 1816.2], [53983.8, 1816.4], [53996.7, 1816.7], [54019.8, 1817.5], [54043.0, 1818.4], [54056.7, 1819.2], [54070.4, 1819.9], [54083.9, 1820.7], [54090.4, 1821.1], [54096.8, 1821.4], [54104.1, 1821.8], [54111.5, 1822.1], [54115.4, 1822.3], [54119.4, 1822.5], [54123.7, 1822.6], [54128.2, 1822.8], [54128.2, 1835.8], [54123.9, 1839.0], [54119.8, 1842.0], [54111.8, 1847.8], [54100.8, 1855.7], [54089.5, 1863.6], [54077.2, 1872.0], [54064.9, 1880.3], [54054.2, 1887.4], [54043.7, 1894.7], [54036.1, 1900.3], [54028.8, 1906.3], [54021.9, 1912.8], [54018.7, 1916.2], [54015.6, 1919.8], [54013.1, 1922.9], [54010.9, 1926.1], [54008.8, 1929.3], [54006.9, 1932.7], [54005.1, 1936.7], [54003.6, 1940.9], [54002.4, 1945.1], [54001.5, 1949.4], [54000.9, 1953.0], [54000.6, 1956.7], [54000.0, 1964.0], [53999.3, 1971.8], [53999.0, 1975.8], [53998.9, 1979.7], [53998.9, 1984.3], [53999.1, 1988.8], [53999.8, 1997.9], [54000.0, 2000.0]]","0, 180",M0003
L0003,s000081,1,"[[54000.0, 3000.0], [54000.0, 3140.0], [53930.0, 3140.0], [53930.0, 3000.0], [54000.0, 3000.0]]","0, 180",M0003
L0003,s000082,1,"[[56000.0, 1000.0], [56000.3, 1005.8], [56000.3, 1011.6], [55999.9, 1017.4], [55999.3, 1023.2], [55998.2, 1029.9], [55996.9, 1036.6], [55995.7, 1041.8], [55994.3, 1046.9], [55993.1, 1050.5], [55991.7, 1054.1], [55988.7, 1061.1], [55986.1, 1066.6], [55983.2, 1072.0], [55981.4, 1075.0], [55979.4, 1077.9], [55975.1, 1083.6], [55969.0, 1090.7], [55962.4, 1097.4], [55956.3, 1103.0], [55949.8, 1108.3], [55943.2, 1113.2], [55936.4, 1117.7], [55931.4, 1120.7], [55926.2, 1123.5], [55921.1, 1126.0], [55915.9, 1128.3], [55907.0, 1132.2], [55898.1, 1135.8], [55880.8, 1142.4], [55873.5, 1145.4], [55866.3, 1148.3], [55859.0, 1151.1], [55855.4, 1152.6], [55851.8, 1154.1], [55847.2, 1156.4], [55842.6, 1158.7], [55839.0, 1160.5], [55835.5, 1162.6], [55833.4, 1164.2], [55831.3, 1165.9], [55829.0, 1167.8], [55826.8, 1169.9], [55824.8, 1172.2], [55823.0, 1174.8], [55820.3, 1179.6], [55817.9, 1184.3], [55816.6, 1187.1], [55815.9, 1188.6], [55815.1, 1190.2], [55803.7, 1188.1], [55792.1, 1186.0], [55768.7, 1181.9], [55747.7, 1178.6], [55726.8, 1175.5], [55698.7, 1171.5], [55694.3, 1170.9], [55684.7, 1169.7], [55670.6, 1168.1], [55655.8, 1166.7], [55641.0, 1165.5], [55624.9, 1164.6], [55608.9, 1163.8], [55581.0, 1162.8], [55553.0, 1162.3], [55522.9, 1162.1], [55506.7, 1162.3], [55490.4, 1162.9], [55474.6, 1164.0], [55458.7, 1165.2], [55444.0, 1166.2], [55429.4, 1167.3], [55414.2, 1168.6], [55399.1, 1170.1], [55391.5, 1170.9], [55383.7, 1171.8], [55375.7, 1172.8], [55367.5, 1173.8], [55355.8, 1175.3], [55350.0, 1176.1], [55344.3, 1176.9], [55338.8, 1177.7], [55333.7, 1178.5], [55329.0, 1179.2], [55326.9, 1179.5], [55324.9, 1179.9], [55323.1, 1180.2], [55321.1, 1180.6], [55319.9, 1180.8], [55318.5, 1181.1], [55316.9, 1181.4], [55315.0, 1181.8], [55314.4, 1178.0], [55313.9, 1174.4], [55313.3, 1171.1], [55312.8, 1167.9], [55311.9, 1161.9], [55311.0, 1156.0], [55309.3, 1145.2], [55307.6, 1133.9], [55305.7, 1122.0], [55304.7, 1115.8], [55303.6, 1109.5], [55302.4, 1102.3], [55301.2, 1095.0], [55298.5, 1080.1], [55295.9, 1065.2], [55294.5, 1057.9], [55293.2, 1050.8], [55292.0, 1044.0], [55290.7, 1037.4], [55289.6, 1031.1], [55288.5, 1025.2], [55287.4, 1019.8], [55286.5, 1014.8], [55286.1, 1012.6], [55285.7, 1010.5], [55285.3, 1008.5], [55285.0, 1006.7], [55284.7, 1004.9], [55284.5, 1003.9], [55284.3, 1002.7], [55284.0, 1001.2], [55283.6, 999.3], [55283.2, 996.9], [55283.0, 995.6], [55282.7, 994.1], [55289.7, 992.3], [55297.0, 990.4], [55304.7, 988.5], [55312.7, 986.5], [55321.0, 984.3], [55329.6, 982.2], [55338.3, 979.9], [55347.2, 977.6], [55365.4, 972.9], [55383.7, 968.1], [55402.0, 963.1], [55411.0, 960.7], [55419.9, 958.2], [55431.3, 955.0], [55442.6, 951.9], [55454.1, 948.7], [55464.9, 945.7], [55494.6, 937.9], [55524.6, 930.1], [55544.1, 925.0], [55563.6, 919.9], [55583.2, 915.2], [55593.0, 913.0], [55602.8, 910.9], [55621.4, 907.4], [55640.1, 904.3], [55658.6, 901.5], [55677.1, 898.9], [55696.2, 896.5], [55715.3, 894.3], [55736.6, 892.1], [55757.9, 890.2], [55771.6, 888.9], [55778.4, 888.4], [55785.3, 888.0], [55794.8, 887.6], [55804.3, 887.4], [55829.5, 886.5], [55854.8, 885.6], [55867.8, 885.1], [55880.9, 884.8], [55893.8, 884.5], [55906.4, 884.3], [55915.0, 884.2], [55923.6, 884.1], [55928.0, 884.1], [55932.5, 884.0], [55942.1, 884.0], [55943.1, 894.0], [55947.7, 898.6], [55952.1, 903.1], [55957.3, 908.6], [55962.2, 914.3], [55967.3, 920.7], [55972.2, 927.2], [55977.2, 934.0], [55979.6, 937.4], [55981.8, 940.9], [55984.5, 945.7], [55987.0, 950.7], [55990.5, 958.7], [55992.0, 962.8], [55993.4, 967.0], [55995.3, 973.5], [55996.9, 980.2], [55997.9, 985.1], [55998.8, 990.0], [55999.5, 995.0], [56000.0, 1000.0]]","0, 180",M0003
L0003,s000083,1,"[[56000.0, 2000.0], [56000.0, 2140.0], [55930.0, 2140.0], [55930.0, 2000.0], [56000.0, 2000.0]]","0, 180",M0003
L0003,s000084,1,"[[56000.0, 3000.0], [56000.6, 2750.7], [56026.3, 2750.7], [56034.4, 2750.6], [56045.3, 2750.6], [56056.4, 2750.5], [56067.7, 2750.6], [56078.9, 2750.7], [56095.0, 2751.2], [56110.9, 2752.0], [56126.8, 2753.0], [56142.6, 2754.0], [56167.2, 2755.6], [56191.7, 2757.2], [56218.9, 2759.2], [56246.1, 2761.1], [56267.3, 2762.3], [56288.5, 2763.6], [56309.7, 2765.0], [56320.4, 2765.6], [56331.0, 2766.1], [56345.9, 2766.5], [56360.7, 2766.6], [56385.0, 2766.5], [56395.0, 2766.5], [56404.9, 2766.4], [56413.6, 2766.1], [56422.2, 2765.6], [56430.8, 2764.9], [56439.4, 2764.1], [56454.8, 2762.5], [56470.0, 2760.6], [56488.5, 2758.0], [56502.2, 2755.8], [56515.8, 2753.5], [56529.3, 2751.3], [56536.1, 2750.2], [56543.0, 2749.1], [56552.2, 2747.6], [56561.5, 2746.1], [56570.9, 2744.5], [56580.1, 2743.0], [56589.1, 2741.6], [56597.8, 2740.2], [56601.9, 2739.5], [56605.9, 2738.8], [56609.8, 2738.2], [56613.5, 2737.6], [56617.2, 2749.1], [56619.6, 2748.8], [56621.7, 2748.4], [56623.7, 2748.1], [56625.4, 2747.9], [56628.7, 2747.4], [56631.8, 2747.0], [56636.0, 2746.4], [56640.5, 2745.8], [56645.1, 2745.3], [56649.9, 2744.7], [56659.7, 2743.4], [56669.6, 2742.0], [56676.2, 2741.0], [56682.7, 2739.9], [56695.6, 2737.3], [56705.9, 2734.9], [56716.2, 2732.3], [56732.2, 2728.0], [56748.3, 2723.4], [56758.4, 2720.6], [56768.4, 2717.7], [56778.3, 2714.8], [56787.8, 2712.1], [56811.6, 2712.3], [56813.0, 2717.2], [56814.3, 2721.9], [56816.9, 2731.0], [56820.7, 2743.4], [56824.8, 2756.0], [56829.3, 2769.1], [56833.8, 2782.1], [56839.1, 2797.5], [56844.5, 2812.8], [56851.6, 2831.7], [56855.3, 2841.2], [56859.2, 2850.8], [56865.9, 2867.3], [56869.3, 2875.5], [56872.8, 2883.7], [56876.1, 2891.7], [56879.5, 2899.5], [56882.6, 2907.0], [56885.7, 2914.1], [56883.1, 2916.6], [56880.5, 2919.2], [56878.4, 2921.9], [56876.4, 2924.8], [56874.2, 2928.2], [56872.3, 2931.7], [56870.4, 2935.7], [56868.8, 2939.8], [56867.8, 2943.3], [56866.9, 2946.8], [56865.6, 2953.9], [56864.6, 2960.2], [56863.9, 2966.7], [56863.3, 2973.1], [56862.9, 2979.5], [56862.4, 2992.7], [56862.0, 3006.1], [56861.8, 3014.1], [56861.8, 3015.9], [56861.6, 3025.6], [56861.5, 3029.2], [56861.3, 3035.1], [56861.2, 3039.7], [56861.1, 3044.1], [56851.7, 3044.7], [56842.7, 3045.3], [56833.9, 3045.8], [56825.0, 3046.4], [56814.2, 3047.1], [56803.3, 3047.7], [56792.4, 3048.2], [56781.4, 3048.5], [56765.5, 3048.7], [56749.5, 3048.6], [56730.1, 3048.7], [56710.6, 3048.7], [56688.1, 3048.3], [56665.6, 3047.4], [56646.3, 3046.4], [56627.0, 3045.3], [56579.3, 3042.5], [56548.1, 3040.5], [56527.7, 3039.2], [56507.2, 3037.8], [56486.4, 3036.4], [56476.2, 3035.7], [56466.1, 3035.0], [56459.1, 3034.4], [56452.1, 3033.9], [56444.7, 3033.4], [56440.9, 3033.1], [56436.9, 3032.8], [56413.2, 3016.4], [56409.5, 3016.3], [56405.6, 3016.2], [56397.4, 3016.0], [56388.8, 3015.8], [56386.5, 3015.7], [56380.1, 3015.6], [56371.3, 3015.4], [56362.6, 3015.2], [56354.1, 3015.1], [56346.1, 3015.0], [56338.9, 3015.0], [56335.4, 3014.9], [56323.8, 3014.9], [56319.5, 3015.0], [56314.7, 3015.0], [56306.4, 3056.5], [56274.9, 3056.6], [55999.9, 3056.6], [56000.0, 3000.0]]","0, 180",M0003
L0003,s000085,1,"[[58000.0, 1000.0], [58000.0, 1200.0], [57930.0, 1200.0], [57930.0, 1000.0], [58000.0, 1000.0]]","0, 180",M0003
L0003,s000086,1,"[[58000.0, 2000.0], [57930.0, 2000.0], [57930.0, 1800.0], [58000.0, 1800.0], [58000.0, 2000.0]]","0, 180",M0003
