o_0,o_1,o_2,o_3,ver_sym,hori_sym
"[[0.0, 0.0], [80.0, 0.0], [80.0, 40.0], [60.0, 40.0], [60.0, 20.0], [0.0, 20.0], [0.0, 0.0]]","[[60.0, -20.0], [60.0, 60.0], [20.0, 60.0], [20.0, 40.0], [40.0, 40.0], [40.0, -20.0], [60.0, -20.0]]","[[80.0, 40.0], [0.0, 40.0], [0.0, 0.0], [20.0, 0.0], [20.0, 20.0], [80.0, 20.0], [80.0, 40.0]]","[[20.0, 60.0], [20.0, -20.0], [60.0, -20.0], [60.0, 0.0], [40.0, 0.0], [40.0, 60.0], [20.0, 60.0]]",0,0
"[[0.0, 0.0], [120.0, 0.0], [120.0, 60.0], [80.0, 60.0], [80.0, 120.0], [0.0, 120.0], [0.0, 0.0]]","[[120.0, 0.0], [120.0, 120.0], [60.0, 120.0], [60.0, 80.0], [0.0, 80.0], [0.0, 0.0], [120.0, 0.0]]","[[120.0, 120.0], [0.0, 120.0], [0.0, 60.0], [40.0, 60.0], [40.0, 0.0], [120.0, 0.0], [120.0, 120.0]]","[[0.0, 120.0], [0.0, 0.0], [60.0, 0.0], [60.0, 40.0], [120.0, 40.0], [120.0, 120.0], [0.0, 120.0]]",0,0
"[[0.0, 0.0], [120.0, 0.0], [120.0, 120.0], [0.0, 120.0], [0.0, 0.0]]","[[120.0, 0.0], [120.0, 120.0], [0.0, 120.0], [0.0, 0.0], [120.0, 0.0]]","[[120.0, 120.0], [0.0, 120.0], [0.0, 0.0], [120.0, 0.0], [120.0, 120.0]]","[[0.0, 120.0], [0.0, 0.0], [120.0, 0.0], [120.0, 120.0], [0.0, 120.0]]",1,1
"[[0.0, 0.0], [100.0, 0.0], [100.0, 100.0], [0.0, 100.0], [0.0, 0.0]]","[[100.0, 0.0], [100.0, 100.0], [0.0, 100.0], [0.0, 0.0], [100.0, 0.0]]","[[100.0, 100.0], [0.0, 100.0], [0.0, 0.0], [100.0, 0.0], [100.0, 100.0]]","[[0.0, 100.0], [0.0, 0.0], [100.0, 0.0], [100.0, 100.0], [0.0, 100.0]]",1,1
"[[0.0, 0.0], [80.0, 0.0], [80.0, 80.0], [0.0, 80.0], [0.0, 0.0]]","[[80.0, 0.0], [80.0, 80.0], [0.0, 80.0], [0.0, 0.0], [80.0, 0.0]]","[[80.0, 80.0], [0.0, 80.0], [0.0, 0.0], [80.0, 0.0], [80.0, 80.0]]","[[0.0, 80.0], [0.0, 0.0], [80.0, 0.0], [80.0, 80.0], [0.0, 80.0]]",1,1
"[[40.0, 0.0], [80.0, 0.0], [80.0, 40.0], [120.0, 40.0], [120.0, 80.0], [80.0, 80.0], [80.0, 120.0], [40.0, 120.0], [40.0, 80.0], [0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0]]","[[120.0, 40.0], [120.0, 80.0], [80.0, 80.0], [80.0, 120.0], [40.0, 120.0], [40.0, 80.0], [0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0], [80.0, 0.0], [80.0, 40.0], [120.0, 40.0]]","[[80.0, 120.0], [40.0, 120.0], [40.0, 80.0], [0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0], [80.0, 0.0], [80.0, 40.0], [120.0, 40.0], [120.0, 80.0], [80.0, 80.0], [80.0, 120.0]]","[[0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0], [80.0, 0.0], [80.0, 40.0], [120.0, 40.0], [120.0, 80.0], [80.0, 80.0], [80.0, 120.0], [40.0, 120.0], [40.0, 80.0], [0.0, 80.0]]",1,1
"[[20.0, 0.0], [40.0, 0.0], [40.0, 20.0], [60.0, 20.0], [60.0, 40.0], [40.0, 40.0], [40.0, 60.0], [20.0, 60.0], [20.0, 40.0], [0.0, 40.0], [0.0, 20.0], [20.0, 20.0], [20.0, 0.0]]","[[60.0, 20.0], [60.0, 40.0], [40.0, 40.0], [40.0, 60.0], [20.0, 60.0], [20.0, 40.0], [0.0, 40.0], [0.0, 20.0], [20.0, 20.0], [20.0, 0.0], [40.0, 0.0], [40.0, 20.0], [60.0, 20.0]]","[[40.0, 60.0], [20.0, 60.0], [20.0, 40.0], [0.0, 40.0], [0.0, 20.0], [20.0, 20.0], [20.0, 0.0], [40.0, 0.0], [40.0, 20.0], [60.0, 20.0], [60.0, 40.0], [40.0, 40.0], [40.0, 60.0]]","[[0.0, 40.0], [0.0, 20.0], [20.0, 20.0], [20.0, 0.0], [40.0, 0.0], [40.0, 20.0], [60.0, 20.0], [60.0, 40.0], [40.0, 40.0], [40.0, 60.0], [20.0, 60.0], [20.0, 40.0], [0.0, 40.0]]",1,1
"[[40.0, 0.0], [80.0, 0.0], [80.0, 40.0], [120.0, 40.0], [120.0, 80.0], [80.0, 80.0], [80.0, 120.0], [40.0, 120.0], [40.0, 80.0], [0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0]]","[[120.0, 40.0], [120.0, 80.0], [80.0, 80.0], [80.0, 120.0], [40.0, 120.0], [40.0, 80.0], [0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0], [80.0, 0.0], [80.0, 40.0], [120.0, 40.0]]","[[80.0, 120.0], [40.0, 120.0], [40.0, 80.0], [0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0], [80.0, 0.0], [80.0, 40.0], [120.0, 40.0], [120.0, 80.0], [80.0, 80.0], [80.0, 120.0]]","[[0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0], [80.0, 0.0], [80.0, 40.0], [120.0, 40.0], [120.0, 80.0], [80.0, 80.0], [80.0, 120.0], [40.0, 120.0], [40.0, 80.0], [0.0, 80.0]]",1,1
"[[20.0, 0.0], [40.0, 0.0], [40.0, 20.0], [60.0, 20.0], [60.0, 40.0], [40.0, 40.0], [40.0, 60.0], [20.0, 60.0], [20.0, 40.0], [0.0, 40.0], [0.0, 20.0], [20.0, 20.0], [20.0, 0.0]]","[[60.0, 20.0], [60.0, 40.0], [40.0, 40.0], [40.0, 60.0], [20.0, 60.0], [20.0, 40.0], [0.0, 40.0], [0.0, 20.0], [20.0, 20.0], [20.0, 0.0], [40.0, 0.0], [40.0, 20.0], [60.0, 20.0]]","[[40.0, 60.0], [20.0, 60.0], [20.0, 40.0], [0.0, 40.0], [0.0, 20.0], [20.0, 20.0], [20.0, 0.0], [40.0, 0.0], [40.0, 20.0], [60.0, 20.0], [60.0, 40.0], [40.0, 40.0], [40.0, 60.0]]","[[0.0, 40.0], [0.0, 20.0], [20.0, 20.0], [20.0, 0.0], [40.0, 0.0], [40.0, 20.0], [60.0, 20.0], [60.0, 40.0], [40.0, 40.0], [40.0, 60.0], [20.0, 60.0], [20.0, 40.0], [0.0, 40.0]]",1,1
"[[0.0, 0.0], [120.0, 0.0], [120.0, 60.0], [0.0, 60.0], [0.0, 0.0]]","[[90.0, -30.0], [90.0, 90.0], [30.0, 90.0], [30.0, -30.0], [90.0, -30.0]]","[[120.0, 60.0], [0.0, 60.0], [0.0, 0.0], [120.0, 0.0], [120.0, 60.0]]","[[30.0, 90.0], [30.0, -30.0], [90.0, -30.0], [90.0, 90.0], [30.0, 90.0]]",1,1
"[[0.0, 0.0], [20.0, 0.0], [20.0, 80.0], [0.0, 80.0], [0.0, 0.0]]","[[50.0, 30.0], [50.0, 50.0], [-30.0, 50.0], [-30.0, 30.0], [50.0, 30.0]]","[[20.0, 80.0], [0.0, 80.0], [0.0, 0.0], [20.0, 0.0], [20.0, 80.0]]","[[-30.0, 50.0], [-30.0, 30.0], [50.0, 30.0], [50.0, 50.0], [-30.0, 50.0]]",1,1
"[[0.0, 0.0], [100.0, 0.0], [100.0, 40.0], [0.0, 40.0], [0.0, 0.0]]","[[70.0, -30.0], [70.0, 70.0], [30.0, 70.0], [30.0, -30.0], [70.0, -30.0]]","[[100.0, 40.0], [0.0, 40.0], [0.0, 0.0], [100.0, 0.0], [100.0, 40.0]]","[[30.0, 70.0], [30.0, -30.0], [70.0, -30.0], [70.0, 70.0], [30.0, 70.0]]",1,1
"[[40.0, 0.0], [80.0, 0.0], [120.0, 40.0], [120.0, 80.0], [80.0, 120.0], [40.0, 120.0], [0.0, 80.0], [0.0, 40.0], [40.0, 0.0]]","[[120.0, 40.0], [120.0, 80.0], [80.0, 120.0], [40.0, 120.0], [0.0, 80.0], [0.0, 40.0], [40.0, 0.0], [80.0, 0.0], [120.0, 40.0]]","[[80.0, 120.0], [40.0, 120.0], [0.0, 80.0], [0.0, 40.0], [40.0, 0.0], [80.0, 0.0], [120.0, 40.0], [120.0, 80.0], [80.0, 120.0]]","[[0.0, 80.0], [0.0, 40.0], [40.0, 0.0], [80.0, 0.0], [120.0, 40.0], [120.0, 80.0], [80.0, 120.0], [40.0, 120.0], [0.0, 80.0]]",1,1
"[[60.0, 0.0], [120.0, 0.0], [160.0, 40.0], [160.0, 80.0], [120.0, 120.0], [60.0, 120.0], [0.0, 80.0], [0.0, 40.0], [60.0, 0.0]]","[[140.0, 40.0], [140.0, 100.0], [100.0, 140.0], [60.0, 140.0], [20.0, 100.0], [20.0, 40.0], [60.0, -20.0], [100.0, -20.0], [140.0, 40.0]]","[[100.0, 120.0], [40.0, 120.0], [0.0, 80.0], [0.0, 40.0], [40.0, 0.0], [100.0, 0.0], [160.0, 40.0], [160.0, 80.0], [100.0, 120.0]]","[[20.0, 80.0], [20.0, 20.0], [60.0, -20.0], [100.0, -20.0], [140.0, 20.0], [140.0, 80.0], [100.0, 140.0], [60.0, 140.0], [20.0, 80.0]]",0,0
"[[0.0, 20.0], [40.0, 0.0], [80.0, 0.0], [120.0, 20.0], [120.0, 40.0], [80.0, 60.0], [40.0, 60.0], [0.0, 40.0], [0.0, 20.0]]","[[70.0, -30.0], [90.0, 10.0], [90.0, 50.0], [70.0, 90.0], [50.0, 90.0], [30.0, 50.0], [30.0, 10.0], [50.0, -30.0], [70.0, -30.0]]","[[120.0, 40.0], [80.0, 60.0], [40.0, 60.0], [0.0, 40.0], [0.0, 20.0], [40.0, 0.0], [80.0, 0.0], [120.0, 20.0], [120.0, 40.0]]","[[50.0, 90.0], [30.0, 50.0], [30.0, 10.0], [50.0, -30.0], [70.0, -30.0], [90.0, 10.0], [90.0, 50.0], [70.0, 90.0], [50.0, 90.0]]",1,1
