o_0,o_1,o_2,o_3,ver_sym,hori_sym
"[[60.0, 0.0], [120.0, 120.0], [0.0, 120.0], [60.0, 0.0]]","[[120.0, 60.0], [0.0, 120.0], [0.0, 0.0], [120.0, 60.0]]","[[60.0, 120.0], [0.0, 0.0], [120.0, 0.0], [60.0, 120.0]]","[[0.0, 60.0], [120.0, 0.0], [120.0, 120.0], [0.0, 60.0]]",0,0
"[[0.0, 0.0], [80.0, 0.0], [40.0, 80.0], [0.0, 0.0]]","[[80.0, 0.0], [80.0, 80.0], [0.0, 40.0], [80.0, 0.0]]","[[80.0, 80.0], [0.0, 80.0], [40.0, 0.0], [80.0, 80.0]]","[[0.0, 80.0], [0.0, 0.0], [80.0, 40.0], [0.0, 80.0]]",0,0
"[[50.0, 0.0], [100.0, 100.0], [0.0, 100.0], [50.0, 0.0]]","[[100.0, 50.0], [0.0, 100.0], [0.0, 0.0], [100.0, 50.0]]","[[50.0, 100.0], [0.0, 0.0], [100.0, 0.0], [50.0, 100.0]]","[[0.0, 50.0], [100.0, 0.0], [100.0, 100.0], [0.0, 50.0]]",0,0
"[[40.0, 0.0], [80.0, 50.0], [40.0, 100.0], [0.0, 50.0], [40.0, 0.0]]","[[90.0, 50.0], [40.0, 90.0], [-10.0, 50.0], [40.0, 10.0], [90.0, 50.0]]","[[40.0, 100.0], [0.0, 50.0], [40.0, 0.0], [80.0, 50.0], [40.0, 100.0]]","[[-10.0, 50.0], [40.0, 10.0], [90.0, 50.0], [40.0, 90.0], [-10.0, 50.0]]",1,1
"[[20.0, 0.0], [60.0, 0.0], [80.0, 20.0], [80.0, 60.0], [40.0, 80.0], [0.0, 60.0], [0.0, 20.0], [20.0, 0.0]]","[[80.0, 20.0], [80.0, 60.0], [60.0, 80.0], [20.0, 80.0], [0.0, 40.0], [20.0, 0.0], [60.0, 0.0], [80.0, 20.0]]","[[60.0, 80.0], [20.0, 80.0], [0.0, 60.0], [0.0, 20.0], [40.0, 0.0], [80.0, 20.0], [80.0, 60.0], [60.0, 80.0]]","[[0.0, 60.0], [0.0, 20.0], [20.0, 0.0], [60.0, 0.0], [80.0, 40.0], [60.0, 80.0], [20.0, 80.0], [0.0, 60.0]]",0,0
"[[0.0, 0.0], [60.0, 0.0], [60.0, 90.0], [0.0, 90.0], [0.0, 0.0]]","[[75.0, 15.0], [75.0, 75.0], [-15.0, 75.0], [-15.0, 15.0], [75.0, 15.0]]","[[60.0, 90.0], [0.0, 90.0], [0.0, 0.0], [60.0, 0.0], [60.0, 90.0]]","[[-15.0, 75.0], [-15.0, 15.0], [75.0, 15.0], [75.0, 75.0], [-15.0, 75.0]]",1,1
"[[40.0, 0.0], [80.0, 0.0], [80.0, 80.0], [0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0]]","[[80.0, 40.0], [80.0, 80.0], [0.0, 80.0], [0.0, 0.0], [40.0, 0.0], [40.0, 40.0], [80.0, 40.0]]","[[40.0, 80.0], [0.0, 80.0], [0.0, 0.0], [80.0, 0.0], [80.0, 40.0], [40.0, 40.0], [40.0, 80.0]]","[[0.0, 40.0], [0.0, 0.0], [80.0, 0.0], [80.0, 80.0], [40.0, 80.0], [40.0, 40.0], [0.0, 40.0]]",0,0
"[[40.0, 0.0], [80.0, 0.0], [80.0, 80.0], [0.0, 80.0], [0.0, 40.0], [40.0, 40.0], [40.0, 0.0]]","[[80.0, 40.0], [80.0, 80.0], [0.0, 80.0], [0.0, 0.0], [40.0, 0.0], [40.0, 40.0], [80.0, 40.0]]","[[40.0, 80.0], [0.0, 80.0], [0.0, 0.0], [80.0, 0.0], [80.0, 40.0], [40.0, 40.0], [40.0, 80.0]]","[[0.0, 40.0], [0.0, 0.0], [80.0, 0.0], [80.0, 80.0], [40.0, 80.0], [40.0, 40.0], [0.0, 40.0]]",0,0
"[[0.0, 0.0], [120.0, 0.0], [120.0, 120.0], [0.0, 120.0], [0.0, 0.0]]","[[120.0, 0.0], [120.0, 120.0], [0.0, 120.0], [0.0, 0.0], [120.0, 0.0]]","[[120.0, 120.0], [0.0, 120.0], [0.0, 0.0], [120.0, 0.0], [120.0, 120.0]]","[[0.0, 120.0], [0.0, 0.0], [120.0, 0.0], [120.0, 120.0], [0.0, 120.0]]",1,1
"[[0.0, 0.0], [80.0, 0.0], [80.0, 80.0], [0.0, 80.0], [0.0, 0.0]]","[[80.0, 0.0], [80.0, 80.0], [0.0, 80.0], [0.0, 0.0], [80.0, 0.0]]","[[80.0, 80.0], [0.0, 80.0], [0.0, 0.0], [80.0, 0.0], [80.0, 80.0]]","[[0.0, 80.0], [0.0, 0.0], [80.0, 0.0], [80.0, 80.0], [0.0, 80.0]]",1,1
"[[0.0, 0.0], [100.0, 0.0], [100.0, 100.0], [0.0, 100.0], [0.0, 0.0]]","[[100.0, 0.0], [100.0, 100.0], [0.0, 100.0], [0.0, 0.0], [100.0, 0.0]]","[[100.0, 100.0], [0.0, 100.0], [0.0, 0.0], [100.0, 0.0], [100.0, 100.0]]","[[0.0, 100.0], [0.0, 0.0], [100.0, 0.0], [100.0, 100.0], [0.0, 100.0]]",1,1
